Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0.031,0.03,0.025,0.025,0.024,0.023,0.023,0.022,0.018,0.018,0.016,0.016,0.021,0.027,0.035,0.06,0.098,0.122,0.123,0.128,0.126
Albania,0.073,0.069,0.076,0.085,0.077,0.084,0.095,0.096,0.092,0.095,0.114,0.116,0.121,0.118,0.103,0.103,0.112,0.126,0.109,0.107,0.13
Algeria,1.202,1.24,1.291,1.257,1.202,1.253,1.248,1.236,1.254,1.275,1.289,1.25,1.48,1.54,1.609,1.737,1.837,1.859,2,2.113,2.126
American Samoa,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.005,0.005,0.004
Angola,0.084,0.082,0.088,0.084,0.093,0.085,0.094,0.091,0.119,0.127,0.135,0.145,0.148,0.166,0.192,0.219,0.257,0.277,0.286,0.297,0.332
Antigua and Barbuda,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.009
Argentina,2.201,2.241,2.306,2.387,2.458,2.569,2.61,2.666,2.624,2.478,2.669,2.777,3.11,3.312,3.347,3.479,3.41,3.539,3.669,3.653,3.823
Armenia,0.148,0.142,0.131,0.167,0.144,0.151,0.153,0.16,0.162,0.162,0.174,0.179,0.2,0.203,0.219,0.215,0.199,0.131,0.142,0.15,0.233
Aruba,0.01,0.01,0.012,0.008,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.014,0.014,0.014,0.015,0.014,0.013,0.013
Australia,3.926,3.932,4.046,4.224,4.556,4.589,4.809,4.838,5.009,5.104,5.291,5.466,5.726,5.79,5.932,5.99,6.004,5.89,5.906,5.802,5.738
Austria,1.225,1.216,1.266,1.324,1.335,1.363,1.37,1.354,1.413,1.415,1.434,1.477,1.528,1.52,1.502,1.499,1.441,1.491,1.402,1.442,1.46
Azerbaijan,0.84,0.761,0.73,0.645,0.638,0.544,0.563,0.531,0.607,0.592,0.601,0.637,0.659,0.701,0.594,0.642,0.578,0.576,0.562,0.603,0.595
"Bahamas, The",0.033,0.036,0.043,0.048,0.048,0.054,0.048,0.047,0.047,0.047,0.057,0.057,0.066,0.066,0.063,0.043,0.049,0.049,0.049,0.049,0.053
Bahrain,0.287,0.283,0.284,0.284,0.335,0.352,0.356,0.365,0.377,0.398,0.408,0.419,0.457,0.489,0.51,0.535,0.546,0.552,0.548,0.591,0.68
Bangladesh,0.306,0.34,0.382,0.387,0.403,0.419,0.465,0.504,0.553,0.585,0.635,0.675,0.718,0.787,0.818,0.892,0.969,0.944,0.996,1.08,1.129
Barbados,0.019,0.018,0.018,0.016,0.02,0.021,0.021,0.024,0.023,0.023,0.023,0.016,0.022,0.021,0.019,0.018,0.021,0.019,0.021,0.021,0.017
Belarus,1.286,1.076,1.01,1.01,0.996,0.974,0.985,1.05,0.96,0.905,0.982,0.949,1.122,1.152,1.149,1.121,1.049,1.126,1.166,1.148,1.237
Belgium,2.241,2.35,2.412,2.571,2.639,2.684,2.644,2.72,2.681,2.666,2.782,2.813,2.774,2.749,2.748,2.883,2.665,2.848,2.678,2.553,2.612
Belize,0.005,0.004,0.006,0.005,0.008,0.007,0.008,0.011,0.014,0.014,0.014,0.015,0.016,0.017,0.018,0.01,0.009,0.01,0.01,0.01,0.013
Benin,0.012,0.013,0.014,0.015,0.017,0.018,0.02,0.024,0.024,0.026,0.031,0.036,0.037,0.044,0.048,0.053,0.066,0.074,0.066,0.066,0.074
Bermuda,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.009,0.009,0.009,0.012,0.008,0.01,0.01,0.01,0.01,0.01
Bhutan,0.013,0.015,0.016,0.018,0.018,0.017,0.017,0.017,0.019,0.021,0.022,0.02,0.023,0.035,0.05,0.053,0.054,0.058,0.055,0.052,0.057
"Bolivia, Plurnational State of",0.097,0.108,0.123,0.121,0.135,0.126,0.141,0.162,0.145,0.157,0.198,0.202,0.197,0.208,0.235,0.241,0.239,0.243,0.241,0.3,0.276
Bosnia and Herzegovina,0.202,0.104,0.176,0.114,0.16,0.186,0.191,0.224,0.221,0.232,0.227,0.257,0.28,0.282,0.251,0.296,0.319,0.349,0.33,0.308,0.261
Botswana,0.039,0.04,0.043,0.04,0.042,0.047,0.049,0.058,0.053,0.053,0.05,0.058,0.061,0.066,0.063,0.076,0.065,0.074,0.065,0.063,0.062
Brazil,6.296,6.59,6.986,7.42,7.822,8.081,8.234,8.5,8.415,8.506,8.586,8.95,9.247,9.472,9.984,10.448,10.387,11.426,11.89,12.273,12.571
Brunei,0.052,0.05,0.062,0.058,0.062,0.056,0.063,0.065,0.073,0.085,0.09,0.1,0.119,0.18,0.187,0.194,0.128,0.147,0.152,0.145,0.147
Bulgaria,0.889,0.879,0.957,0.983,0.912,0.845,0.771,0.867,0.903,0.873,0.884,0.874,0.896,0.917,0.821,0.815,0.711,0.739,0.866,0.837,0.799
Burkina Faso,0.009,0.01,0.01,0.011,0.017,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.019,0.019,0.021,0.03,0.026,0.027,0.026,0.027,0.024
Burundi,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.004,0.004,0.005,0.005,0.005,0.007
Cambodia,0.007,0.008,0.021,0.023,0.027,0.032,0.033,0.034,0.04,0.043,0.047,0.052,0.055,0.061,0.066,0.074,0.066,0.061,0.067,0.071,0.114
Cameroon,0.07,0.075,0.076,0.076,0.08,0.08,0.078,0.081,0.082,0.078,0.083,0.087,0.086,0.099,0.099,0.108,0.109,0.125,0.125,0.137,0.12
Canada,11.67,11.991,12.172,12.518,12.609,12.305,12.922,13.01,12.763,13,13.35,13.677,13.577,13.692,13.57,13.556,13.056,13.547,13.864,13.79,14.194
Cape Verde,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.005,0.006
Cayman Islands,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.008,0.01,0.008,0.008,0.008,0.008,0.007
Central African Republic,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006,0.007
Chad,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Chile,0.688,0.74,0.806,0.869,0.983,0.972,1.013,1.019,1.047,1.074,1.135,1.217,1.28,1.313,1.303,1.362,1.355,1.321,1.365,1.358,1.345
China,29.592,31.878,34.438,35.751,34.849,35.323,37,41.112,43.513,47.121,54.329,63.448,72.653,79.362,85.966,88.885,93.625,99.732,108.238,113.043,116.718
Colombia,1.056,1.098,1.116,1.191,1.212,1.244,1.164,1.163,1.188,1.164,1.202,1.226,1.265,1.313,1.317,1.36,1.352,1.449,1.54,1.58,1.486
Comoros,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Congo (Kinshasa),0.105,0.092,0.101,0.103,0.092,0.087,0.086,0.086,0.077,0.074,0.074,0.089,0.092,0.093,0.099,0.096,0.097,0.107,0.116,0.117,0.1
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002
Costa Rica,0.101,0.103,0.106,0.107,0.119,0.122,0.133,0.141,0.147,0.153,0.158,0.162,0.161,0.173,0.182,0.191,0.182,0.185,0.186,0.189,0.196
C™te d'Ivoire,0.071,0.075,0.081,0.101,0.095,0.096,0.125,0.133,0.11,0.107,0.109,0.115,0.113,0.114,0.12,0.134,0.13,0.122,0.123,0.132,0.124
Croatia,0.322,0.341,0.345,0.345,0.352,0.372,0.376,0.373,0.384,0.373,0.392,0.408,0.406,0.407,0.399,0.404,0.393,0.391,0.345,0.353,0.396
Cuba,0.403,0.411,0.418,0.428,0.472,0.449,0.456,0.459,0.466,0.467,0.464,0.519,0.45,0.355,0.372,0.35,0.415,0.4,0.411,0.409,0.395
Cyprus,0.082,0.093,0.093,0.091,0.092,0.1,0.105,0.103,0.112,0.111,0.112,0.118,0.12,0.124,0.126,0.131,0.126,0.122,0.12,0.113,0.127
Czech Republic,1.609,1.541,1.576,1.669,1.465,1.422,1.329,1.39,1.436,1.434,1.498,1.515,1.541,1.592,1.636,1.625,1.528,1.592,1.759,1.738,1.709
Democratic Republic of Congo,0.015,0.015,0.015,0.015,0.015,0.014,0.012,0.013,0.016,0.015,0.017,0.018,0.027,0.028,0.034,0.04,0.048,0.073,0.077,0.084,0.098
Denmark,0.839,0.873,0.883,0.978,0.944,0.922,0.89,0.876,0.889,0.856,0.896,0.863,0.846,0.897,0.879,0.829,0.786,0.817,0.778,0.734,0.754
Djibouti,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.026,0.024,0.023,0.017,0.017,0.017,0.017,0.017,0.024
Dominica,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
