Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0.016,0.016,0.012,0.012,0.012,0.012,0.012,0.012,0.008,0.008,0.008,0.007,0.007,0.008,0.015,0.016,0.021,0.031,0.044,0.044,0.014
Albania,0.063,0.068,0.068,0.083,0.073,0.066,0.068,0.061,0.051,0.051,0.069,0.071,0.071,0.068,0.043,0.053,0.064,0.1,0.075,0.084,0.106
Algeria,4.884,4.736,5.048,5.248,5.592,5.749,6.02,6.191,6.17,6.391,6.789,6.901,7.48,7.418,7.324,7.377,7.06,7.122,7.017,6.997,6.508
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1.113,1.169,1.404,1.542,1.549,1.596,1.615,1.622,1.609,1.941,1.956,2.293,2.697,3.058,3.758,4.221,4.041,4.116,3.794,3.871,3.987
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2.477,2.687,2.911,3.027,3.283,3.376,3.407,3.492,3.66,3.574,3.741,3.755,3.746,3.822,3.663,3.631,3.537,3.429,3.262,3.115,3.092
Armenia,0.044,0.036,0.02,0.041,0.031,0.032,0.037,0.034,0.033,0.041,0.041,0.046,0.047,0.046,0.046,0.044,0.046,0.052,0.052,0.047,0.046
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,6.652,6.919,7.429,7.582,8.311,8.661,8.845,9.657,10.248,10.456,10.312,10.461,10.965,11.099,11.691,11.777,12.193,13.06,12.058,11.669,8.9
Austria,0.512,0.49,0.519,0.485,0.493,0.513,0.548,0.56,0.552,0.551,0.486,0.515,0.507,0.517,0.541,0.536,0.562,0.544,0.505,0.596,0.567
Azerbaijan,0.717,0.662,0.645,0.651,0.619,0.731,0.84,0.837,0.88,0.879,0.905,0.888,1.181,1.658,2.236,2.518,2.79,2.876,2.745,2.602,2.506
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0.351,0.348,0.343,0.334,0.399,0.403,0.408,0.415,0.425,0.445,0.452,0.457,0.477,0.5,0.517,0.54,0.542,0.549,0.545,0.612,0.699
Bangladesh,0.222,0.244,0.264,0.272,0.275,0.296,0.325,0.351,0.374,0.408,0.457,0.497,0.537,0.594,0.624,0.691,0.75,0.762,0.77,0.843,0.871
Barbados,0.004,0.003,0.004,0.003,0.003,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.003,0.003,0.003,0.003
Belarus,0.097,0.096,0.094,0.089,0.086,0.087,0.087,0.087,0.087,0.086,0.084,0.085,0.082,0.083,0.082,0.082,0.077,0.074,0.074,0.067,0.068
Belgium,0.443,0.427,0.433,0.45,0.487,0.474,0.505,0.499,0.481,0.49,0.488,0.493,0.499,0.497,0.519,0.492,0.519,0.537,0.557,0.498,0.531
Belize,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.008,0.009,0.01,0.011,0.011,0.009,0.009
Benin,0.013,0.013,0.007,0.005,0.003,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0.017,0.018,0.02,0.021,0.02,0.019,0.02,0.02,0.022,0.024,0.027,0.024,0.028,0.047,0.067,0.071,0.069,0.073,0.071,0.067,0.072
"Bolivia, Plurnational State of",0.173,0.176,0.197,0.201,0.205,0.211,0.186,0.216,0.277,0.321,0.363,0.505,0.591,0.62,0.656,0.658,0.572,0.639,0.696,0.802,0.908
Bosnia and Herzegovina,0.138,0.048,0.083,0.076,0.124,0.143,0.151,0.176,0.178,0.19,0.192,0.205,0.208,0.22,0.198,0.204,0.169,0.164,0.157,0.152,0.154
Botswana,0.022,0.022,0.025,0.021,0.02,0.024,0.024,0.024,0.024,0.024,0.021,0.023,0.025,0.025,0.021,0.023,0.019,0.025,0.02,0.038,0.034
Brazil,4.095,4.264,4.467,4.834,5.061,5.475,5.879,6.36,6.155,6.702,7.021,7.143,7.664,8.002,8.311,8.559,8.925,9.467,9.909,9.763,9.692
Brunei,0.711,0.722,0.751,0.727,0.741,0.703,0.775,0.816,0.837,0.793,0.828,0.851,0.888,0.984,0.876,0.835,0.741,0.776,0.828,0.771,0.744
